Player,Batting_Impact,Bowling_Impact,Talent_Score
V Kohli,101824.81853202978,40.0,61110.891119217864
DA Warner,78699.52934625695,0.0,47219.71760775417
S Dhawan,78578.54309684479,0.0,47147.125858106876
RG Sharma,70357.87599352634,150.0,42274.7255961158
KL Rahul,66481.45724240915,0.0,39888.87434544549
CH Gayle,58085.05324232081,180.0,34923.03194539249
AM Rahane,56602.39811320754,0.0,33961.438867924524
SK Raina,52755.77663394781,250.0,31753.465980368685
F du Plessis,51827.637447988905,0.0,31096.582468793342
JC Buttler,49647.719973054904,0.0,29788.63198383294
Shubman Gill,49199.72128729467,0.0,29519.8327723768
SV Samson,49172.87908533185,0.0,29503.72745119911
G Gambhir,48708.758683314416,0.0,29225.25520998865
AB de Villiers,47443.437281330655,0.0,28466.062368798393
RV Uthappa,45150.09493251846,0.0,27090.056959511076
SA Yadav,40430.608237232285,0.0,24258.36494233937
MK Pandey,39738.24739195231,0.0,23842.948435171387
Q de Kock,39649.76041586446,0.0,23789.856249518674
SS Iyer,38898.689198144464,0.0,23339.213518886678
SR Watson,38226.34163208852,920.0,23303.804979253113
AT Rayudu,38619.28538681949,0.0,23171.57123209169
MS Dhoni,37063.87978541819,0.0,22238.327871250913
KD Karthik,36286.86975861134,0.0,21772.121855166803
RR Pant,33510.92664092664,0.0,20106.555984555984
BB McCullum,31979.002112676055,0.0,19187.401267605634
RD Gaikwad,31419.648676699533,0.0,18851.78920601972
SE Marsh,30831.2645060115,0.0,18498.758703606898
Ishan Kishan,29580.886941726927,0.0,17748.532165036155
JH Kallis,28401.907813182017,650.0,17301.14468790921
V Sehwag,27663.001963993454,60.0,16621.801178396072
M Vijay,27045.04492753623,0.0,16227.026956521737
N Rana,26904.012259835315,100.0,16182.407355901189
YBK Jaiswal,26891.303868103994,0.0,16134.782320862396
SR Tendulkar,26643.965557729938,0.0,15986.379334637963
WP Saha,25557.214189189188,0.0,15334.328513513512
PA Patel,25174.809009009008,0.0,15104.885405405405
MA Agarwal,24837.7504193849,0.0,14902.650251630941
GJ Maxwell,24167.507172995778,410.0,14664.504303797466
MEK Hussey,24075.667961165047,0.0,14445.400776699027
YK Pathan,23707.35475578406,420.0,14392.412853470436
SPD Smith,23593.24072036018,0.0,14155.944432216107
B Sai Sudharsan,23157.48447387785,0.0,13894.490684326709
DR Smith,22650.65391014975,260.0,13694.39234608985
DA Miller,22711.488530161427,0.0,13626.893118096856
KA Pollard,21694.78210053126,690.0,13292.869260318757
R Dravid,21904.387278415015,0.0,13142.63236704901
RA Tripathi,21522.774809607497,0.0,12913.664885764498
KS Williamson,21236.028373702422,0.0,12741.617024221452
AJ Finch,21231.81886792453,0.0,12739.091320754716
RA Jadeja,20010.64929051531,1730.0,12698.389574309185
Yuvraj Singh,20527.284911644765,360.0,12460.370946986859
AC Gilchrist,20670.77491961415,0.0,12402.464951768488
HH Pandya,19910.237717121585,800.0,12266.14263027295
D Padikkal,19511.151592356684,0.0,11706.69095541401
JM Bairstow,19053.48636748518,0.0,11432.091820491109
JP Duminy,18592.64285714286,230.0,11247.585714285715
N Pooran,18683.13422818792,0.0,11209.880536912751
DPMD Jayawardene,18333.756110381077,0.0,11000.253666228646
PP Shaw,18072.02104466313,0.0,10843.212626797878
AD Russell,17234.594587945878,1230.0,10832.756752767526
Abhishek Sharma,17201.444300727566,110.0,10364.86658043654
MP Stoinis,16210.265306122448,440.0,9902.159183673468
KC Sangakkara,16351.06404494382,0.0,9810.638426966292
SC Ganguly,15788.80693815988,100.0,9513.284162895927
S Dube,15661.8,60.0,9421.08
H Klaasen,15574.66976744186,0.0,9344.801860465115
KK Nair,15479.858143074582,0.0,9287.914885844748
MR Marsh,15222.46875,370.0,9281.481249999999
MK Tiwary,15390.129885829416,0.0,9234.07793149765
VR Iyer,15231.33517364203,0.0,9138.801104185217
CA Lynn,15097.786858316222,0.0,9058.672114989733
DP Conway,14956.088664987406,0.0,8973.653198992444
LMP Simmons,14897.54396355353,0.0,8938.526378132117
P Simran Singh,14887.975024201354,0.0,8932.785014520812
SP Narine,13543.05946872322,1950.0,8905.835681233932
Mandeep Singh,14154.799435825105,0.0,8492.879661495062
S Badrinath,14035.149397590361,0.0,8421.089638554216
Tilak Varma,13758.657754010695,0.0,8255.194652406417
R Parag,13281.345058626466,90.0,8004.80703517588
AK Markram,13287.57800511509,60.0,7996.546803069054
TM Dilshan,13075.531614135625,50.0,7865.318968481375
ML Hayden,13002.091775923718,0.0,7801.255065554231
TM Head,12911.106598984772,0.0,7746.663959390863
KH Pandya,11790.80492040521,1000.0,7474.4829522431255
NV Ojha,12218.770588235293,0.0,7331.262352941176
SS Tiwary,12123.721456235477,0.0,7274.232873741285
RM Patidar,12011.587857961054,0.0,7206.952714776632
AR Patel,11137.133689839573,1310.0,7206.280213903744
PD Salt,11830.079096045198,0.0,7098.047457627118
BJ Hodge,11437.786470078057,170.0,6930.671882046834
DJ Bravo,10111.335525260625,1830.0,6798.801315156375
DJ Hussey,10664.900999091735,80.0,6430.940599455041
EJG Morgan,10482.301608806096,0.0,6289.380965283657
